Historical_Record_ID,Event_ID,District,State,Historically_Documented,Source_Type
HIST0001,EVT001,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0002,EVT001,Villupuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0003,EVT001,Pudukkottai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0004,EVT002,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0005,EVT002,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0006,EVT002,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0007,EVT002,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0008,EVT003,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0009,EVT003,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0010,EVT003,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0011,EVT003,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0012,EVT004,Kanniyakumari,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0013,EVT004,Thoothukudi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0014,EVT004,Tirunelveli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0015,EVT005,Nagapattinam,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0016,EVT005,Thiruvarur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0017,EVT005,Thanjavur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0018,EVT005,Pudukkottai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0019,EVT005,Dindigul,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0020,EVT006,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0021,EVT006,Villupuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0022,EVT006,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0023,EVT006,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0024,EVT006,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0025,EVT006,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0026,EVT007,Thoothukudi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0027,EVT007,Tirunelveli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0028,EVT007,Kanniyakumari,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0029,EVT007,Ramanathapuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0030,EVT008,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0031,EVT008,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0032,EVT008,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0033,EVT008,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0034,EVT009,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0035,EVT009,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0036,EVT009,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0037,EVT009,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0038,EVT010,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0039,EVT010,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0040,EVT010,Kancheepuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0041,EVT010,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0042,EVT010,Villupuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0043,EVT010,Kallakurichi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0044,EVT010,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0045,EVT010,Tiruvannamalai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0046,EVT010,Dharmapuri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0047,EVT010,Krishnagiri,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0048,EVT010,Ranipet,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0049,EVT010,Vellore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0050,EVT010,Tirupathur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0051,EVT011,Chennai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0052,EVT011,Tiruvallur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0053,EVT011,Chengalpattu,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0054,EVT011,Villupuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0055,EVT011,Cuddalore,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0056,EVT011,Nagapattinam,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0057,EVT011,Thiruvarur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0058,EVT011,Thanjavur,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0059,EVT011,Pudukkottai,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0060,EVT011,Ramanathapuram,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0061,EVT011,Thoothukudi,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0062,EVT011,Tirunelveli,Tamil Nadu,True,Historical reference supplied by project dataset
HIST0063,EVT011,Kanniyakumari,Tamil Nadu,True,Historical reference supplied by project dataset
