Inventory_ID,Hub_ID,Event_ID,Food_Available_packets,Water_Available_Liters,Medical_Kits_Available,Shelter_Capacity_Available,Vehicles_Available,Vehicle_Capacity,Rescue_Personnel_Available,Distribution_Personnel_Available,Medical_Personnel_Available
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156
INV00012,HUB002,EVT002,198434,728929,2453,90927,13,662,574,545,109
INV00013,HUB003,EVT002,198732,730023,2457,91064,11,788,575,546,109
INV00014,HUB004,EVT002,147001,539992,1817,67359,13,758,425,404,80
INV00015,HUB005,EVT002,78839,289605,975,36126,11,635,228,217,43
INV00016,HUB006,EVT002,208625,766365,2579,95597,11,690,603,573,114
INV00017,HUB007,EVT002,103930,381775,1285,47623,12,758,301,285,57
INV00018,HUB008,EVT002,131431,482799,1625,60225,9,653,380,361,72
INV00019,HUB009,EVT002,115083,422746,1423,52734,13,630,333,316,63
INV00020,HUB010,EVT002,61324,225267,758,28100,11,664,177,168,34
INV00021,HUB001,EVT003,325341,1157524,4082,133101,13,752,828,861,249
INV00022,HUB002,EVT003,193698,689156,2431,79245,12,650,493,512,149
INV00023,HUB003,EVT003,194515,692062,2441,79579,14,727,495,515,149
INV00024,HUB004,EVT003,135997,483861,1707,55638,13,623,346,360,104
INV00025,HUB005,EVT003,112954,401876,1417,46211,11,761,288,299,87
INV00026,HUB006,EVT003,127292,452890,1597,52077,10,696,324,337,98
INV00027,HUB007,EVT003,141095,501999,1771,57724,11,745,359,373,108
INV00028,HUB008,EVT003,124591,443279,1563,50972,11,747,317,330,96
INV00029,HUB009,EVT003,54443,193703,683,22274,10,657,139,144,42
INV00030,HUB010,EVT003,56878,202364,714,23269,9,647,145,150,44
INV00031,HUB001,EVT004,29342,95346,343,12228,9,722,79,76,22
INV00032,HUB002,EVT004,53140,172679,621,22145,8,689,143,138,39
INV00033,HUB003,EVT004,44605,144942,521,18588,9,686,120,116,33
INV00034,HUB004,EVT004,95902,311633,1120,39965,11,768,258,250,70
INV00035,HUB005,EVT004,66552,216260,777,27734,11,629,179,173,49
INV00036,HUB006,EVT004,100069,325172,1169,41702,13,711,270,261,73
INV00037,HUB007,EVT004,51141,166181,597,21312,8,752,138,133,37
INV00038,HUB008,EVT004,71596,232650,836,29836,12,649,193,186,52
INV00039,HUB009,EVT004,183096,594968,2139,76302,17,812,493,477,134
INV00040,HUB010,EVT004,81033,263315,947,33769,12,674,218,211,59
INV00041,HUB001,EVT005,44391,150496,512,19651,11,739,132,121,32
INV00042,HUB002,EVT005,67557,229033,779,29906,10,697,202,185,48
INV00043,HUB003,EVT005,79815,270591,920,35333,13,686,238,218,57
INV00044,HUB004,EVT005,101960,345668,1176,45136,11,698,304,279,73
INV00045,HUB005,EVT005,94414,320084,1089,41795,11,781,282,258,68
