Inventory_ID,Hub_ID,Event_ID,Food_Available_packets,Water_Available_Liters,Medical_Kits_Available,Shelter_Capacity_Available,Vehicles_Available,Vehicle_Capacity,Rescue_Personnel_Available,Distribution_Personnel_Available,Medical_Personnel_Available,Hours_Since_Disaster
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,0
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,3
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,6
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,12
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,24
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,36
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,48
INV00001,HUB001,EVT001,57671,189137,719,25116,11,639,158,156,37,72
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,0
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,3
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,6
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,12
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,24
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,36
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,48
INV00002,HUB002,EVT001,31715,104013,396,13812,9,728,87,86,20,72
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,0
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,3
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,6
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,12
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,24
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,36
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,48
INV00003,HUB003,EVT001,47408,155478,591,20646,10,697,130,128,30,72
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,0
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,3
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,6
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,12
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,24
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,36
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,48
INV00004,HUB004,EVT001,47070,154370,587,20499,11,719,129,127,30,72
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,0
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,3
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,6
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,12
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,24
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,36
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,48
INV00005,HUB005,EVT001,53796,176428,671,23428,12,665,148,146,34,72
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,0
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,3
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,6
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,12
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,24
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,36
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,48
INV00006,HUB006,EVT001,67037,219855,836,29195,13,778,184,182,43,72
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,0
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,3
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,6
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,12
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,24
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,36
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,48
INV00007,HUB007,EVT001,25717,84343,321,11200,9,621,71,70,16,72
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,0
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,3
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,6
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,12
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,24
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,36
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,48
INV00008,HUB008,EVT001,38788,127208,484,16892,11,712,106,105,25,72
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,0
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,3
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,6
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,12
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,24
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,36
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,48
INV00009,HUB009,EVT001,41801,137090,521,18204,12,673,115,113,27,72
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,0
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,3
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,6
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,12
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,24
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,36
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,48
INV00010,HUB010,EVT001,36065,118279,450,15706,12,765,99,98,23,72
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,0
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,3
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,6
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,12
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,24
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,36
INV00011,HUB001,EVT002,284483,1045021,3517,130357,16,720,823,781,156,48
