Assessment_ID,Event_ID,Location_ID,District,Response_Zone,Assessment_Window,Hours_Since_Disaster,Simulation_ID,Latitude,Longitude,Hub_ID,Distance_to_Hub_km,Population_Baseline,Population_Affected_Est,Affected_Population_pct,Fatalities_Est,Injured_Est,Houses_Damaged_Est,Severity_Score,Infrastructure_Damage_Score,Accessibility_Score,Medical_Urgency_Score,Rainfall_mm,Wind_Speed_kmph,Temperature_C,Flood_Depth_m,River_Level_m,Storm_Surge_m,Wave_Height_m,Burned_Area_km2,Rainfall_Deficit_pct,Slope_Risk_Score,Rescue_Cases_Est,Road_Access_Score,Estimated_Travel_Time_min,Estimated_Relief_Time_min,Food_Required_packets,Water_Required_Liters,Medical_Kits_Required,Shelter_Spaces_Required,Priority_Score,Priority_Level,Required_Rescue_Personnel,Required_Distribution_Personnel,Required_Medical_Personnel,Recommended_Total_Personnel
ASM000001,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+0h,0,SIM001,11.748,79.7714,HUB002,0.0,450000,105269,23.39,17,919,22228,39.93,45.94,72.04,27.78,194.34,66.71,24.22,0.89,4.93,1.3,0.0,0.0,0.0,0.0,1263,72.04,10.0,544.45,390573,533662,1749,20572,34.13,Low,158,298,40,496
ASM000002,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+0h,0,SIM002,11.748,79.7714,HUB002,0.0,450000,101067,22.46,21,968,20557,39.02,44.48,78.0,34.36,235.83,108.3,29.94,1.58,3.35,1.57,0.0,0.0,0.0,0.0,1213,78.0,10.0,533.45,329456,283488,1561,10132,34.39,Low,152,296,42,490
ASM000003,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+0h,0,SIM003,11.748,79.7714,HUB002,0.0,450000,98616,21.91,17,1048,20106,38.44,44.43,76.15,31.41,187.16,94.83,29.05,0.51,3.73,1.53,0.0,0.0,0.0,0.0,1183,76.15,10.0,519.11,375600,454010,2107,15849,33.89,Low,148,286,45,479
ASM000004,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+0h,0,SIM004,11.748,79.7714,HUB002,0.0,450000,98505,21.89,27,1132,21946,42.37,55.78,71.04,32.84,354.16,95.83,27.07,1.31,4.35,2.41,0.0,0.0,0.0,0.0,1310,71.04,10.0,524.42,451684,483868,3026,17940,37.93,Low,164,286,49,499
ASM000005,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+0h,0,SIM005,11.748,79.7714,HUB002,0.0,450000,107255,23.83,31,1883,19132,46.43,41.41,77.89,35.79,330.51,96.21,30.59,1.52,3.31,1.82,0.0,0.0,0.0,0.0,1666,77.89,11.26,566.4,349812,609979,3060,20912,38.37,Low,209,319,79,607
ASM000006,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+3h,3,SIM001,11.748,79.7714,HUB002,0.0,450000,119553,26.57,33,2634,14628,45.77,38.37,75.82,46.91,276.58,129.89,24.44,1.14,2.15,2.62,0.0,0.0,0.0,0.0,1814,75.82,11.51,609.2,389246,703623,4470,18605,41.23,Low,227,356,110,693
ASM000007,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+3h,3,SIM002,11.748,79.7714,HUB002,0.0,450000,132851,29.52,31,1166,24448,46.77,45.33,70.18,30.63,154.68,106.31,31.44,0.72,4.61,2.51,0.0,0.0,0.0,0.0,2089,70.18,10.0,682.36,623272,553500,3197,23947,38.13,Low,262,393,50,705
ASM000008,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+3h,3,SIM003,11.748,79.7714,HUB002,0.0,450000,108959,24.21,28,2203,8950,45.79,30.92,79.22,37.14,272.03,94.69,25.58,0.61,4.4,2.66,0.0,0.0,0.0,0.0,1654,79.22,10.0,546.3,433456,471643,4849,7833,37.12,Low,207,319,92,618
ASM000009,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+3h,3,SIM004,11.748,79.7714,HUB002,0.0,450000,116491,25.89,23,2815,19843,51.75,43.93,70.08,41.48,204.14,79.64,28.05,1.61,6.19,1.76,0.0,0.0,0.0,0.0,2150,70.08,11.77,613.86,367546,452351,4459,16170,43.17,Low,269,351,117,737
ASM000010,EVT001,LOC004,Cuddalore,Cuddalore Response Zone,T+3h,3,SIM005,11.748,79.7714,HUB002,0.0,450000,117980,26.22,23,2367,23549,43.72,51.55,80.17,40.47,216.34,81.8,29.48,1.13,6.4,3.16,0.0,0.0,0.0,0.0,1657,80.17,10.0,618.74,446252,429348,4897,17383,41.17,Low,208,352,99,659
