Event_ID,Hub_ID,Hours_Since_Disaster,Food_Opening_Inventory,Food_Demand,Food_Allocated,Food_Remaining,Water_Opening_Inventory,Water_Demand,Water_Allocated,Water_Remaining,Medical_Opening_Inventory,Medical_Demand,Medical_Allocated,Medical_Remaining,Shelter_Opening_Capacity,Shelter_Demand,Shelter_Allocated,Shelter_Remaining
EVT001,HUB002,0,31715,3886016,31715,0,104013,5796099,104013,0,396,15622,396,0,13812,129389,13812,0
EVT001,HUB002,3,0,4352901,0,0,0,5780961,0,0,0,18342,0,0,0,156774,0,0
EVT001,HUB002,6,0,4412998,0,0,0,6005535,0,0,0,19806,0,0,0,157624,0,0
EVT001,HUB002,12,0,4740154,0,0,0,6444585,0,0,0,21527,0,0,0,216159,0,0
EVT001,HUB002,24,0,7319681,0,0,0,13003984,0,0,0,32543,0,0,0,313518,0,0
EVT001,HUB002,36,0,7442227,0,0,0,10762706,0,0,0,30258,0,0,0,318439,0,0
EVT001,HUB002,48,0,7436097,0,0,0,10179164,0,0,0,28464,0,0,0,274418,0,0
EVT001,HUB002,72,0,5361473,0,0,0,9751142,0,0,0,23799,0,0,0,207017,0,0
EVT001,HUB005,0,53796,1638446,53796,0,176428,2367899,176428,0,671,6757,671,0,23428,54932,23428,0
EVT001,HUB005,3,0,1298982,0,0,0,1717053,0,0,0,5320,0,0,0,48867,0,0
EVT001,HUB005,6,0,1824399,0,0,0,2008438,0,0,0,7751,0,0,0,59372,0,0
EVT001,HUB005,12,0,1850460,0,0,0,2488253,0,0,0,8598,0,0,0,80974,0,0
EVT001,HUB005,24,0,2349811,0,0,0,4335412,0,0,0,10765,0,0,0,98850,0,0
EVT001,HUB005,36,0,3080999,0,0,0,3981530,0,0,0,11437,0,0,0,111574,0,0
EVT001,HUB005,48,0,2474103,0,0,0,4301123,0,0,0,9672,0,0,0,101024,0,0
EVT001,HUB005,72,0,2974428,0,0,0,3648148,0,0,0,11954,0,0,0,97642,0,0
EVT002,HUB001,0,284483,15833308,284483,0,1045021,22516976,1045021,0,3517,67268,3517,0,130357,595260,130357,0
EVT002,HUB001,3,0,15774411,0,0,0,20703479,0,0,0,64896,0,0,0,493026,0,0
EVT002,HUB001,6,0,15258783,0,0,0,21908016,0,0,0,68831,0,0,0,526915,0,0
EVT002,HUB001,12,0,21910882,0,0,0,26848324,0,0,0,90865,0,0,0,990855,0,0
EVT002,HUB001,24,0,26951339,0,0,0,39898505,0,0,0,125414,0,0,0,1314232,0,0
EVT002,HUB001,36,0,25262569,0,0,0,36167912,0,0,0,113060,0,0,0,1081622,0,0
EVT002,HUB001,48,0,26331146,0,0,0,39616832,0,0,0,111848,0,0,0,1060913,0,0
EVT002,HUB001,72,0,23059289,0,0,0,31669239,0,0,0,97157,0,0,0,1047623,0,0
EVT002,HUB002,0,198434,3020324,198434,0,728929,3569683,728929,0,2453,11898,2453,0,90927,71996,71996,18931
EVT002,HUB002,3,0,4819397,0,0,0,5609551,0,0,0,17269,0,0,18931,147805,18931,0
EVT002,HUB002,6,0,4523014,0,0,0,4644999,0,0,0,18130,0,0,0,134622,0,0
EVT002,HUB002,12,0,4231927,0,0,0,6576373,0,0,0,20005,0,0,0,168863,0,0
EVT002,HUB002,24,0,5539151,0,0,0,8799598,0,0,0,23741,0,0,0,200470,0,0
EVT002,HUB002,36,0,6058660,0,0,0,7705820,0,0,0,26385,0,0,0,304553,0,0
EVT002,HUB002,48,0,6313843,0,0,0,8137441,0,0,0,25876,0,0,0,210246,0,0
EVT002,HUB002,72,0,5031681,0,0,0,7961277,0,0,0,22248,0,0,0,222835,0,0
EVT003,HUB001,0,325341,17303859,325341,0,1157524,21642410,1157524,0,4082,69831,4082,0,133101,533599,133101,0
EVT003,HUB001,3,0,18763141,0,0,0,26514724,0,0,0,82045,0,0,0,600455,0,0
EVT003,HUB001,6,0,20809836,0,0,0,29033422,0,0,0,87268,0,0,0,706966,0,0
EVT003,HUB001,12,0,23686093,0,0,0,29371591,0,0,0,101270,0,0,0,967737,0,0
EVT003,HUB001,24,0,30560727,0,0,0,50900599,0,0,0,130439,0,0,0,1441755,0,0
EVT003,HUB001,36,0,30587254,0,0,0,44783968,0,0,0,127268,0,0,0,1243439,0,0
EVT003,HUB001,48,0,30799365,0,0,0,44775982,0,0,0,120030,0,0,0,1073642,0,0
EVT003,HUB001,72,0,29409801,0,0,0,43999948,0,0,0,125844,0,0,0,1142422,0,0
EVT004,HUB009,0,183096,5722982,183096,0,594968,8223336,594968,0,2139,27221,2139,0,76302,214219,76302,0
EVT004,HUB009,3,0,5532529,0,0,0,8393295,0,0,0,25858,0,0,0,225177,0,0
EVT004,HUB009,6,0,7006189,0,0,0,9938298,0,0,0,31534,0,0,0,270740,0,0
EVT004,HUB009,12,0,7560442,0,0,0,11469492,0,0,0,37353,0,0,0,338251,0,0
EVT004,HUB009,24,0,9861809,0,0,0,12649636,0,0,0,40271,0,0,0,321753,0,0
EVT004,HUB009,36,0,9727961,0,0,0,15902778,0,0,0,43908,0,0,0,437289,0,0
EVT004,HUB009,48,0,10684214,0,0,0,18076941,0,0,0,45935,0,0,0,501076,0,0
EVT004,HUB009,72,0,10922746,0,0,0,16194229,0,0,0,46921,0,0,0,370071,0,0
EVT004,HUB010,0,81033,2498861,81033,0,263315,4018983,263315,0,947,11785,947,0,33769,121420,33769,0
EVT004,HUB010,3,0,2881011,0,0,0,4057044,0,0,0,13677,0,0,0,118205,0,0
EVT004,HUB010,6,0,2963054,0,0,0,4854466,0,0,0,13216,0,0,0,168825,0,0
EVT004,HUB010,12,0,2998622,0,0,0,4240015,0,0,0,15818,0,0,0,129646,0,0
EVT004,HUB010,24,0,5798339,0,0,0,8032376,0,0,0,23557,0,0,0,235169,0,0
EVT004,HUB010,36,0,4331485,0,0,0,6636322,0,0,0,18018,0,0,0,155781,0,0
EVT004,HUB010,48,0,5314777,0,0,0,7836867,0,0,0,22776,0,0,0,233073,0,0
EVT004,HUB010,72,0,5615986,0,0,0,7569376,0,0,0,19084,0,0,0,176104,0,0
EVT005,HUB003,0,79815,3073622,79815,0,270591,3488497,270591,0,920,11370,920,0,35333,92306,35333,0
EVT005,HUB003,3,0,2936007,0,0,0,3929281,0,0,0,14091,0,0,0,111199,0,0
EVT005,HUB003,6,0,3212044,0,0,0,4133717,0,0,0,12330,0,0,0,100121,0,0
EVT005,HUB003,12,0,3380809,0,0,0,4568018,0,0,0,14743,0,0,0,110894,0,0
EVT005,HUB003,24,0,5555921,0,0,0,6647579,0,0,0,19607,0,0,0,179242,0,0
EVT005,HUB003,36,0,4565185,0,0,0,6990369,0,0,0,19487,0,0,0,203503,0,0
EVT005,HUB003,48,0,4597608,0,0,0,5972385,0,0,0,18942,0,0,0,175484,0,0
EVT005,HUB003,72,0,3797721,0,0,0,6636396,0,0,0,17290,0,0,0,145892,0,0
EVT005,HUB004,0,101960,2036191,101960,0,345668,3327713,345668,0,1176,8417,1176,0,45136,61818,45136,0
EVT005,HUB004,3,0,2203743,0,0,0,3579421,0,0,0,10507,0,0,0,89324,0,0
EVT005,HUB004,6,0,3379827,0,0,0,3804621,0,0,0,12081,0,0,0,110678,0,0
EVT005,HUB004,12,0,3019318,0,0,0,3796249,0,0,0,13732,0,0,0,136075,0,0
EVT005,HUB004,24,0,3526464,0,0,0,5843728,0,0,0,16156,0,0,0,173099,0,0
EVT005,HUB004,36,0,3580927,0,0,0,5176991,0,0,0,14337,0,0,0,171088,0,0
EVT005,HUB004,48,0,3972431,0,0,0,6456245,0,0,0,18439,0,0,0,200294,0,0
EVT005,HUB004,72,0,3610697,0,0,0,4319754,0,0,0,13441,0,0,0,136520,0,0
EVT005,HUB005,0,94414,1401405,94414,0,320084,1806027,320084,0,1089,6324,1089,0,41795,58974,41795,0
EVT005,HUB005,3,0,1638790,0,0,0,2233484,0,0,0,6508,0,0,0,52467,0,0
EVT005,HUB005,6,0,2006793,0,0,0,2393258,0,0,0,8477,0,0,0,67810,0,0
EVT005,HUB005,12,0,1992878,0,0,0,2085320,0,0,0,9016,0,0,0,80839,0,0
EVT005,HUB005,24,0,2670502,0,0,0,4371305,0,0,0,12816,0,0,0,129330,0,0
EVT005,HUB005,36,0,3087635,0,0,0,3543740,0,0,0,12050,0,0,0,123967,0,0
EVT005,HUB005,48,0,2956884,0,0,0,4450013,0,0,0,12616,0,0,0,117969,0,0
EVT005,HUB005,72,0,2296828,0,0,0,2884472,0,0,0,8878,0,0,0,80219,0,0
EVT005,HUB008,0,69815,1678464,69815,0,236690,2136312,236690,0,805,7581,805,0,30906,63067,30906,0
EVT005,HUB008,3,0,1763467,0,0,0,2348563,0,0,0,7924,0,0,0,91003,0,0
EVT005,HUB008,6,0,1968513,0,0,0,2491343,0,0,0,9093,0,0,0,79391,0,0
EVT005,HUB008,12,0,2226899,0,0,0,2819071,0,0,0,8187,0,0,0,61166,0,0
EVT005,HUB008,24,0,3062217,0,0,0,4558142,0,0,0,14415,0,0,0,146578,0,0
EVT005,HUB008,36,0,2644287,0,0,0,4075787,0,0,0,12571,0,0,0,124723,0,0
EVT005,HUB008,48,0,3088481,0,0,0,5376989,0,0,0,15005,0,0,0,101209,0,0
EVT005,HUB008,72,0,2940004,0,0,0,3440936,0,0,0,10310,0,0,0,89461,0,0
EVT006,HUB001,0,264715,12550773,264715,0,909208,16900588,909208,0,3295,49281,3295,0,118283,420709,118283,0
EVT006,HUB001,3,0,14392588,0,0,0,17452552,0,0,0,56518,0,0,0,448984,0,0
EVT006,HUB001,6,0,15900470,0,0,0,22525696,0,0,0,67270,0,0,0,646042,0,0
EVT006,HUB001,12,0,15787356,0,0,0,25478862,0,0,0,75458,0,0,0,640308,0,0
EVT006,HUB001,24,0,23092911,0,0,0,33531584,0,0,0,90333,0,0,0,739542,0,0
