Dataset,Column,Data_Type,Role,Description
disaster_events.csv,Event_ID,String,Key,Unique disaster event identifier
disaster_events.csv,Event_Name,String,Reference,Human-readable disaster event name
disaster_events.csv,Event_Date,Date,Reference,Synthetic anchor date from supplied historical reference
disaster_events.csv,Disaster_Type,Category,Feature,Flood/Cyclone/Tsunami/Drought/Wildfire/Landslide/Heatwave
disaster_events.csv,State,Category,Reference,State; currently Tamil Nadu
disaster_events.csv,Expected_Duration_Hours,Integer,Feature,Synthetic operational planning horizon
disaster_events.csv,Historical_Event,Boolean,Reference,True when the event is anchored to the supplied historical event list
zone_assessments.csv,Assessment_ID,String,Key,Unique assessment record
zone_assessments.csv,Event_ID,String,Key/Join,Links assessment to disaster event
zone_assessments.csv,Location_ID,String,Key/Join,Stable location identifier for a district
zone_assessments.csv,District,Category,Feature,Administrative district
zone_assessments.csv,Response_Zone,Category,Reference,Operational zone label; one synthetic primary zone per district
zone_assessments.csv,Assessment_Window,Category,Feature,T+0h through T+72h
zone_assessments.csv,Hours_Since_Disaster,Integer,Feature,Numeric version of assessment time
zone_assessments.csv,Simulation_ID,Category,Simulation control,Synthetic Monte Carlo scenario identifier; not intended as a model feature
zone_assessments.csv,Latitude,Float,Feature,Approximate district-center latitude used for synthetic geography
zone_assessments.csv,Longitude,Float,Feature,Approximate district-center longitude used for synthetic geography
zone_assessments.csv,Hub_ID,String,Join,Nearest assigned relief hub
zone_assessments.csv,Distance_to_Hub_km,Float,Feature,Great-circle distance to assigned hub
zone_assessments.csv,Population_Baseline,Integer,Feature,Stable synthetic baseline population for district
zone_assessments.csv,Population_Affected_Est,Integer,Feature/Target input,Estimated affected population
zone_assessments.csv,Affected_Population_pct,Float,Derived feature,Affected population divided by baseline population
zone_assessments.csv,Fatalities_Est,Integer,Impact,Estimated fatalities
zone_assessments.csv,Injured_Est,Integer,Impact,Estimated injured population
zone_assessments.csv,Houses_Damaged_Est,Integer,Impact,Estimated damaged houses
zone_assessments.csv,Severity_Score,Float 0-100,Feature,Disaster severity score
zone_assessments.csv,Infrastructure_Damage_Score,Float 0-100,Feature,Normalized infrastructure damage score
zone_assessments.csv,Accessibility_Score,Float 0-100,Feature,Higher means easier to access
zone_assessments.csv,Medical_Urgency_Score,Float 0-100,Feature,Medical urgency index
