Record_ID,State,Event_Date,Event_Name,Disaster_Type,District,Response_Zone,Assessment_Window,Scenario_Variant,Data_Type,Real_Anchor,Operational_Data_Status,Event_Date,Event_Name,Disaster_Type,District,Response_Zone,Assessment_Window,Population_Baseline_Est,Population_Affected_Est,Severity_Score,Fatalities_Est,Injured_Est,Houses_Damaged_Est,Infrastructure_Damage_Index,Rainfall_mm,Wind_Speed_kmph,Duration_Days,Accessibility_Score,Medical_Urgency_Score,Food_Stock_Available_packets,Water_Stock_Available_Liters,Medical_Kits_Available,Shelter_Capacity,Food_Required_packets,Water_Required_Liters,Medical_Kits_Required,Shelter_Spaces_Required,Food_Shortage_pct,Water_Shortage_pct,Medical_Shortage_pct,Shelter_Shortage_pct,Priority_Score,Rescue_Cases_Est,Required_Rescue_Personnel,Required_Distribution_Personnel,Required_Medical_Personnel,Recommended_Total_Personnel,Estimated_Distance_to_Hub_km,Estimated_Travel_Time_min,Estimated_Relief_Time_min
TNDR-00001,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+0h,286042,118532,8.0,93,1053,8486,32807.0,214.8,139.1,5,28.6,90.1,70468,133993,1723,10670,119877,185255,1746,15612,41.2,27.7,1.3,31.7,68.3,2570,334,335,67,736,25.4,45.2,28900.8
TNDR-00002,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+3h,380709,147190,8.3,127,1231,4563,24907.2,354.3,86.6,3,24.6,97.0,197142,182515,1493,24099,209165,301913,2191,23189,5.7,39.5,31.9,0.0,69.8,5387,767,410,116,1293,6.0,10.9,52715.6
TNDR-00003,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+6h,461012,193135,9.3,172,1640,19206,74597.4,229.8,110.7,5,8.0,100.0,339864,480810,2665,17933,299587,514844,3081,17865,0.0,6.6,13.5,0.0,74.5,6079,1125,543,104,1772,21.6,40.6,54522.2
TNDR-00004,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+12h,423797,144260,8.6,124,1171,18430,44038.3,404.0,109.8,5,32.6,87.1,186333,383834,2302,18586,262555,403743,2361,25415,29.0,4.9,2.5,26.9,65.6,4641,669,560,93,1322,30.8,55.9,48928.7
TNDR-00005,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+24h,402764,132596,8.5,130,1073,17113,53470.9,444.5,165.0,5,33.9,100.0,197748,476501,1229,11925,250370,432342,1893,20277,21.0,0.0,35.1,41.2,69.3,3497,699,477,89,1265,19.2,34.8,40337.8
TNDR-00006,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+36h,319035,98507,8.0,86,821,3523,34852.9,184.9,130.3,5,19.8,85.9,112345,200684,1405,17555,145214,261342,1325,18503,22.6,23.2,0.0,5.1,64.9,2197,384,262,57,703,13.7,24.3,23541.7
TNDR-00007,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+48h,461411,161103,8.4,137,1363,6817,28298.0,291.4,115.7,8,38.8,95.5,182760,462394,1853,12563,210072,411518,2491,19007,13.0,0.0,25.6,33.9,66.3,5281,723,508,96,1327,41.0,74.0,38103.1
TNDR-00008,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Cuddalore,T+72h,401504,146747,7.8,117,1183,10925,28689.6,173.5,102.6,5,24.2,88.5,117509,157081,1365,14050,155868,276041,1450,23297,24.6,43.1,5.9,39.7,67.9,3563,462,468,84,1014,10.4,18.3,31107.5
TNDR-00009,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+0h,453334,209344,8.5,185,1786,15975,94530.0,184.1,122.0,4,38.7,100.0,149347,273493,3837,33082,218295,342292,3380,31644,31.6,20.1,0.0,0.0,68.5,7644,1368,765,113,2246,38.2,69.1,56600.9
TNDR-00010,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+3h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+3h,340427,130707,7.7,94,1041,3224,34184.6,286.6,107.6,5,40.1,96.1,103639,228439,1845,12664,158497,305372,1906,21440,34.6,25.2,3.2,40.9,66.2,4933,807,534,70,1411,26.8,47.1,45339.5
TNDR-00011,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+6h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+6h,453082,197621,7.7,139,1657,18894,45038.8,309.1,142.8,6,26.1,84.6,329075,346684,1645,24401,308225,593064,2659,37165,0.0,41.5,38.1,34.3,67.6,7011,897,562,166,1625,43.9,77.2,54313.0
TNDR-00012,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+12h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+12h,427267,188369,8.2,131,1574,15147,79375.7,203.4,149.0,5,31.9,90.0,314485,500562,1060,32842,344071,588528,1602,33099,8.6,14.9,33.8,0.8,66.8,4454,651,684,101,1436,40.9,73.3,48833.9
TNDR-00013,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+24h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+24h,384954,181547,8.5,161,1534,18584,24807.3,407.3,176.4,5,25.6,96.8,402823,444849,1255,9000,362394,564117,1858,14938,0.0,21.1,32.5,39.8,72.3,6398,893,457,107,1457,36.3,65.8,47742.2
TNDR-00014,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+36h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+36h,354847,172177,8.3,137,1411,11022,78111.6,250.5,123.4,4,25.7,91.3,206307,424191,1142,15167,273341,494872,1725,15655,24.5,14.3,33.8,3.1,69.8,4007,646,536,121,1303,53.6,96.2,34916.2
TNDR-00015,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+48h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+48h,463137,218156,7.5,172,1830,11575,46187.1,237.8,129.8,4,43.3,95.0,179409,421015,3573,17499,259109,443504,3443,26654,30.8,5.1,0.0,34.3,64.6,5712,779,591,170,1540,42.1,73.2,67933.5
TNDR-00016,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+72h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Chidambaram,T+72h,473544,205576,7.5,144,1819,22656,64270.5,189.3,135.3,1,38.1,93.3,142011,298558,1618,24077,208051,405059,1976,25340,31.7,26.3,18.1,5.0,65.2,6509,1071,871,114,2056,20.6,35.9,63417.6
TNDR-00017,Tamil Nadu,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+0h,0,Synthetic scenario anchored to real historical events,Event name/date/type + real TN administrative place,Simulated/derived for research prototype,2011-12-30,Cyclone Thane,Cyclone,Cuddalore,Panruti,T+0h,443002,217519,8.8,192,1883,9116,65909.1,195.1,126.8,6,17.0,88.1,229176,205713,2316,14789,230639,341622,2948,25305,0.6,39.8,21.4,41.6,73.7,5653,1017,524,157,1698,15.7,28.8,53386.5
