Assessment_ID,Hours_Since_Disaster,Hub_ID,Resource,Predicted_Demand,Allocated,Unmet,Strategy
ASM000001,0,HUB002,Food,361482,5594.9952969417545,355887.0047030582,Baseline
ASM000002,0,HUB002,Food,366814,5306.042578062134,361507.95742193784,Baseline
ASM000003,0,HUB002,Food,360357,4866.546151255049,355490.453848745,Baseline
ASM000004,0,HUB002,Food,390641,4931.421247331881,385709.5787526681,Baseline
ASM000005,0,HUB002,Food,356779,4185.484480612539,352593.51551938744,Baseline
ASM000041,0,HUB002,Food,433604,4758.246252987429,428845.7537470126,Baseline
ASM000042,0,HUB002,Food,429526,4343.55873243781,425182.4412675622,Baseline
ASM000043,0,HUB002,Food,352555,3288.012489190865,349266.98751080915,Baseline
ASM000044,0,HUB002,Food,402848,3517.3031400030977,399330.6968599969,Baseline
ASM000045,0,HUB002,Food,423349,3426.77405119684,419922.2259488032,Baseline
ASM000081,0,HUB002,Food,329179,2460.3425566953433,326718.65744330466,Baseline
ASM000082,0,HUB002,Food,339631,2387.2131622589295,337243.7868377411,Baseline
ASM000083,0,HUB002,Food,347339,2291.3069982348416,345047.6930017652,Baseline
ASM000084,0,HUB002,Food,319117,1972.7835419054074,317144.2164580946,Baseline
ASM000085,0,HUB002,Food,311482,1814.3586516792375,309667.64134832076,Baseline
ASM000001,0,HUB002,Water,535351,18785.917940098276,516565.08205990173,Baseline
ASM000002,0,HUB002,Water,470014,15388.357391692902,454625.64260830707,Baseline
ASM000003,0,HUB002,Water,482609,14871.454497421511,467737.5455025785,Baseline
ASM000004,0,HUB002,Water,472305,13675.062388880795,458629.9376111192,Baseline
ASM000005,0,HUB002,Water,525863,14325.957236824523,511537.0427631755,Baseline
ASM000041,0,HUB002,Water,575971,14658.569326340727,561312.4306736593,Baseline
ASM000042,0,HUB002,Water,596275,14081.629378341599,582193.3706216584,Baseline
ASM000043,0,HUB002,Water,515660,11269.234218282496,504390.7657817175,Baseline
ASM000044,0,HUB002,Water,597321,12211.5776904993,585109.4223095007,Baseline
ASM000045,0,HUB002,Water,976639,18474.014471677274,958164.9855283228,Baseline
ASM000081,0,HUB002,Water,449614,7465.527668468758,442148.47233153123,Baseline
ASM000082,0,HUB002,Water,444688,6968.333217610629,437719.6667823894,Baseline
ASM000083,0,HUB002,Water,445045,6585.879749446724,438459.1202505533,Baseline
ASM000084,0,HUB002,Water,453649,6339.3635060175375,447309.63649398246,Baseline
ASM000085,0,HUB002,Water,450853,5942.662602291709,444910.33739770827,Baseline
ASM000001,0,HUB002,Medical,1616,42.28955436195522,1573.7104456380448,Baseline
ASM000002,0,HUB002,Medical,1692,42.52348549333068,1649.4765145066692,Baseline
ASM000003,0,HUB002,Medical,1958,47.166557966383394,1910.8334420336166,Baseline
ASM000004,0,HUB002,Medical,2442,56.00078047039668,2385.999219529603,Baseline
ASM000005,0,HUB002,Medical,3311,71.3814035630189,3239.618596436981,Baseline
ASM000041,0,HUB002,Medical,4066,80.5399895758768,3985.460010424123,Baseline
