Assessment_ID,Event_ID,District,Response_Zone,Hours_Since_Disaster,Hub_ID,Priority_Score,Priority_Level,Estimated_Travel_Time_min,Distance_to_Hub_km,Predicted_Food_Demand,Food_Allocated,Food_Unmet,Remaining_Food_Inventory,Predicted_Water_Demand,Water_Allocated,Water_Unmet,Remaining_Water_Inventory,Predicted_Medical_Demand,Medical_Allocated,Medical_Unmet,Remaining_Medical_Inventory,Predicted_Shelter_Demand,Shelter_Allocated,Shelter_Unmet,Remaining_Shelter_Inventory
ASM000001,EVT001,Cuddalore,Cuddalore Response Zone,0,HUB002,34.13,Low,10.0,0.0,361482,0.0,361482.0,31715.0,535351,0.0,535351.0,104013.0,1616,0.0,1616.0,396.0,20360,0.0,20360.0,13812.0
ASM000002,EVT001,Cuddalore,Cuddalore Response Zone,0,HUB002,34.39,Low,10.0,0.0,366814,0.0,366814.0,31715.0,470014,0.0,470014.0,104013.0,1692,0.0,1692.0,396.0,14226,0.0,14226.0,13812.0
ASM000003,EVT001,Cuddalore,Cuddalore Response Zone,0,HUB002,33.89,Low,10.0,0.0,360357,0.0,360357.0,31715.0,482609,0.0,482609.0,104013.0,1958,0.0,1958.0,396.0,15448,0.0,15448.0,13812.0
ASM000004,EVT001,Cuddalore,Cuddalore Response Zone,0,HUB002,37.93,Low,10.0,0.0,390641,0.0,390641.0,31715.0,472305,0.0,472305.0,104013.0,2442,0.0,2442.0,396.0,18652,0.0,18652.0,13812.0
ASM000005,EVT001,Cuddalore,Cuddalore Response Zone,0,HUB002,38.37,Low,11.26,0.0,356779,0.0,356779.0,31715.0,525863,0.0,525863.0,104013.0,3311,0.0,3311.0,396.0,19494,0.0,19494.0,13812.0
ASM000006,EVT001,Cuddalore,Cuddalore Response Zone,3,HUB002,41.23,Low,11.51,0.0,398642,0.0,398642.0,31715.0,589709,0.0,589709.0,104013.0,4839,0.0,4839.0,396.0,16202,0.0,16202.0,13812.0
ASM000007,EVT001,Cuddalore,Cuddalore Response Zone,3,HUB002,38.13,Low,10.0,0.0,507941,0.0,507941.0,31715.0,661930,0.0,661930.0,104013.0,2452,0.0,2452.0,396.0,29681,0.0,29681.0,13812.0
ASM000008,EVT001,Cuddalore,Cuddalore Response Zone,3,HUB002,37.12,Low,10.0,0.0,389769,0.0,389769.0,31715.0,529443,0.0,529443.0,104013.0,4206,0.0,4206.0,396.0,8397,0.0,8397.0,13812.0
ASM000009,EVT001,Cuddalore,Cuddalore Response Zone,3,HUB002,43.17,Low,11.77,0.0,388501,0.0,388501.0,31715.0,547037,0.0,547037.0,104013.0,4837,0.0,4837.0,396.0,18704,0.0,18704.0,13812.0
ASM000010,EVT001,Cuddalore,Cuddalore Response Zone,3,HUB002,41.17,Low,10.0,0.0,389442,0.0,389442.0,31715.0,545406,0.0,545406.0,104013.0,4144,0.0,4144.0,396.0,19829,0.0,19829.0,13812.0
ASM000011,EVT001,Cuddalore,Cuddalore Response Zone,6,HUB002,40.62,Low,10.0,0.0,360149,0.0,360149.0,31715.0,501784,0.0,501784.0,104013.0,3306,0.0,3306.0,396.0,17174,0.0,17174.0,13812.0
ASM000012,EVT001,Cuddalore,Cuddalore Response Zone,6,HUB002,39.03,Low,10.33,0.0,419659,0.0,419659.0,31715.0,549926,0.0,549926.0,104013.0,3321,0.0,3321.0,396.0,18501,0.0,18501.0,13812.0
ASM000013,EVT001,Cuddalore,Cuddalore Response Zone,6,HUB002,39.31,Low,10.0,0.0,366644,0.0,366644.0,31715.0,456415,0.0,456415.0,104013.0,3555,0.0,3555.0,396.0,16098,0.0,16098.0,13812.0
ASM000014,EVT001,Cuddalore,Cuddalore Response Zone,6,HUB002,42.86,Low,10.0,0.0,373731,0.0,373731.0,31715.0,542132,0.0,542132.0,104013.0,3985,0.0,3985.0,396.0,19859,0.0,19859.0,13812.0
ASM000015,EVT001,Cuddalore,Cuddalore Response Zone,6,HUB002,40.51,Low,10.0,0.0,360861,0.0,360861.0,31715.0,554733,0.0,554733.0,104013.0,2278,0.0,2278.0,396.0,23844,0.0,23844.0,13812.0
ASM000016,EVT001,Cuddalore,Cuddalore Response Zone,12,HUB002,49.99,Moderate,10.71,0.0,449232,0.0,449232.0,31715.0,721038,0.0,721038.0,104013.0,5413,0.0,5413.0,396.0,26549,0.0,26549.0,13812.0
ASM000017,EVT001,Cuddalore,Cuddalore Response Zone,12,HUB002,49.55,Moderate,10.0,0.0,576267,0.0,576267.0,31715.0,787022,0.0,787022.0,104013.0,3316,0.0,3316.0,396.0,46095,0.0,46095.0,13812.0
ASM000018,EVT001,Cuddalore,Cuddalore Response Zone,12,HUB002,48.29,Moderate,10.0,0.0,485154,0.0,485154.0,31715.0,682631,0.0,682631.0,104013.0,6575,0.0,6575.0,396.0,33661,0.0,33661.0,13812.0
ASM000019,EVT001,Cuddalore,Cuddalore Response Zone,12,HUB002,51.45,Moderate,10.0,0.0,459345,0.0,459345.0,31715.0,650969,0.0,650969.0,104013.0,4479,0.0,4479.0,396.0,34052,0.0,34052.0,13812.0
ASM000020,EVT001,Cuddalore,Cuddalore Response Zone,12,HUB002,46.26,Moderate,10.0,0.0,414754,0.0,414754.0,31715.0,606025,0.0,606025.0,104013.0,4879,0.0,4879.0,396.0,17761,0.0,17761.0,13812.0
ASM000021,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB002,61.92,High,10.09,0.0,875487,0.0,875487.0,0.0,1139165,0.0,1139165.0,0.0,8059,0.0,8059.0,0.0,66034,0.0,66034.0,0.0
ASM000022,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB002,64.33,High,10.0,0.0,733131,31715.0,647620.0,0.0,1137528,104013.0,857087.0,0.0,6857,0.0,6857.0,0.0,69076,0.0,45648.0,0.0
ASM000022,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB005,64.33,High,10.0,0.0,733131,53796.0,647620.0,0.0,1137528,176428.0,857087.0,0.0,6857,0.0,6857.0,0.0,69076,23428.0,45648.0,0.0
ASM000023,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB002,58.14,Moderate,10.0,0.0,815595,0.0,815595.0,0.0,1199295,0.0,1199295.0,0.0,6767,0.0,6767.0,0.0,47214,0.0,47214.0,0.0
ASM000024,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB002,63.01,High,10.23,0.0,714027,0.0,714027.0,0.0,1142101,0.0,1142101.0,0.0,6334,0.0,6334.0,0.0,58379,0.0,58379.0,0.0
ASM000025,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB002,67.27,High,10.0,0.0,749532,0.0,749532.0,0.0,1226079,0.0,1226079.0,0.0,11298,396.0,10231.0,0.0,72492,13812.0,58680.0,0.0
ASM000025,EVT001,Cuddalore,Cuddalore Response Zone,24,HUB005,67.27,High,10.0,0.0,749532,0.0,749532.0,0.0,1226079,0.0,1226079.0,0.0,11298,671.0,10231.0,0.0,72492,0.0,58680.0,0.0
ASM000026,EVT001,Cuddalore,Cuddalore Response Zone,36,HUB002,48.21,Moderate,10.0,0.0,524245,0.0,524245.0,0.0,774929,0.0,774929.0,0.0,4541,0.0,4541.0,0.0,17997,0.0,17997.0,0.0
ASM000027,EVT001,Cuddalore,Cuddalore Response Zone,36,HUB002,55.97,Moderate,10.0,0.0,637957,0.0,637957.0,0.0,968972,0.0,968972.0,0.0,10307,0.0,10307.0,0.0,51294,0.0,51294.0,0.0
ASM000028,EVT001,Cuddalore,Cuddalore Response Zone,36,HUB002,47.02,Moderate,10.0,0.0,550959,0.0,550959.0,0.0,853296,0.0,853296.0,0.0,3241,0.0,3241.0,0.0,15757,0.0,15757.0,0.0
ASM000029,EVT001,Cuddalore,Cuddalore Response Zone,36,HUB002,59.78,Moderate,10.0,0.0,636667,0.0,636667.0,0.0,894150,0.0,894150.0,0.0,10960,0.0,10960.0,0.0,45667,0.0,45667.0,0.0
ASM000030,EVT001,Cuddalore,Cuddalore Response Zone,36,HUB002,55.17,Moderate,10.0,0.0,592016,0.0,592016.0,0.0,949595,0.0,949595.0,0.0,6601,0.0,6601.0,0.0,32068,0.0,32068.0,0.0
ASM000031,EVT001,Cuddalore,Cuddalore Response Zone,48,HUB002,50.88,Moderate,11.66,0.0,555604,0.0,555604.0,0.0,862904,0.0,862904.0,0.0,5622,0.0,5622.0,0.0,36778,0.0,36778.0,0.0
ASM000032,EVT001,Cuddalore,Cuddalore Response Zone,48,HUB002,54.35,Moderate,10.0,0.0,759291,0.0,759291.0,0.0,872129,0.0,872129.0,0.0,9976,0.0,9976.0,0.0,25041,0.0,25041.0,0.0
ASM000033,EVT001,Cuddalore,Cuddalore Response Zone,48,HUB002,55.1,Moderate,10.0,0.0,655363,0.0,655363.0,0.0,1034727,0.0,1034727.0,0.0,7102,0.0,7102.0,0.0,61548,0.0,61548.0,0.0
ASM000034,EVT001,Cuddalore,Cuddalore Response Zone,48,HUB002,51.18,Moderate,10.0,0.0,552543,0.0,552543.0,0.0,861822,0.0,861822.0,0.0,12027,0.0,12027.0,0.0,35507,0.0,35507.0,0.0
ASM000035,EVT001,Cuddalore,Cuddalore Response Zone,48,HUB002,56.26,Moderate,10.0,0.0,650417,0.0,650417.0,0.0,871605,0.0,871605.0,0.0,11743,0.0,11743.0,0.0,39734,0.0,39734.0,0.0
ASM000036,EVT001,Cuddalore,Cuddalore Response Zone,72,HUB002,45.01,Moderate,10.65,0.0,456324,0.0,456324.0,0.0,790831,0.0,790831.0,0.0,5960,0.0,5960.0,0.0,18960,0.0,18960.0,0.0
ASM000037,EVT001,Cuddalore,Cuddalore Response Zone,72,HUB002,46.68,Moderate,10.0,0.0,465319,0.0,465319.0,0.0,831830,0.0,831830.0,0.0,5063,0.0,5063.0,0.0,28654,0.0,28654.0,0.0
ASM000038,EVT001,Cuddalore,Cuddalore Response Zone,72,HUB002,49.47,Moderate,10.35,0.0,537552,0.0,537552.0,0.0,846711,0.0,846711.0,0.0,7707,0.0,7707.0,0.0,24490,0.0,24490.0,0.0
ASM000039,EVT001,Cuddalore,Cuddalore Response Zone,72,HUB002,48.36,Moderate,11.32,0.0,429907,0.0,429907.0,0.0,726926,0.0,726926.0,0.0,8565,0.0,8565.0,0.0,32001,0.0,32001.0,0.0
ASM000040,EVT001,Cuddalore,Cuddalore Response Zone,72,HUB002,48.18,Moderate,10.94,0.0,494233,0.0,494233.0,0.0,824238,0.0,824238.0,0.0,6040,0.0,6040.0,0.0,21432,0.0,21432.0,0.0
ASM000041,EVT001,Villupuram,Villupuram Response Zone,0,HUB002,39.64,Low,90.5,37.69,433604,0.0,433604.0,31715.0,575971,0.0,575971.0,104013.0,4066,0.0,4066.0,396.0,23807,0.0,23807.0,13812.0
ASM000042,EVT001,Villupuram,Villupuram Response Zone,0,HUB002,39.56,Low,88.19,37.69,429526,0.0,429526.0,31715.0,596275,0.0,596275.0,104013.0,5035,0.0,5035.0,396.0,23795,0.0,23795.0,13812.0
ASM000043,EVT001,Villupuram,Villupuram Response Zone,0,HUB002,36.05,Low,87.28,37.69,352555,0.0,352555.0,31715.0,515660,0.0,515660.0,104013.0,2655,0.0,2655.0,396.0,14210,0.0,14210.0,13812.0
ASM000044,EVT001,Villupuram,Villupuram Response Zone,0,HUB002,32.49,Low,83.96,37.69,402848,0.0,402848.0,31715.0,597321,0.0,597321.0,104013.0,2327,0.0,2327.0,396.0,14758,0.0,14758.0,13812.0
ASM000045,EVT001,Villupuram,Villupuram Response Zone,0,HUB002,37.64,Low,88.45,37.69,423349,0.0,423349.0,31715.0,976639,0.0,976639.0,104013.0,2138,0.0,2138.0,396.0,43051,0.0,43051.0,13812.0
ASM000046,EVT001,Villupuram,Villupuram Response Zone,3,HUB002,45.9,Moderate,93.71,37.69,428882,0.0,428882.0,31715.0,671370,0.0,671370.0,104013.0,4820,0.0,4820.0,396.0,25083,0.0,25083.0,13812.0
ASM000047,EVT001,Villupuram,Villupuram Response Zone,3,HUB002,41.45,Low,87.93,37.69,417415,0.0,417415.0,31715.0,655863,0.0,655863.0,104013.0,5607,0.0,5607.0,396.0,19766,0.0,19766.0,13812.0
ASM000048,EVT001,Villupuram,Villupuram Response Zone,3,HUB002,41.69,Low,94.97,37.69,496104,0.0,496104.0,31715.0,692776,0.0,692776.0,104013.0,2693,0.0,2693.0,396.0,18293,0.0,18293.0,13812.0
ASM000049,EVT001,Villupuram,Villupuram Response Zone,3,HUB002,34.84,Low,88.8,37.69,346899,0.0,346899.0,31715.0,490805,0.0,490805.0,104013.0,3086,0.0,3086.0,396.0,7187,0.0,7187.0,13812.0
ASM000050,EVT001,Villupuram,Villupuram Response Zone,3,HUB002,39.93,Low,84.98,37.69,422949,0.0,422949.0,31715.0,732597,0.0,732597.0,104013.0,3199,0.0,3199.0,396.0,31537,0.0,31537.0,13812.0
ASM000051,EVT001,Villupuram,Villupuram Response Zone,6,HUB002,47.86,Moderate,83.93,37.69,548060,0.0,548060.0,31715.0,763394,0.0,763394.0,104013.0,5372,0.0,5372.0,396.0,34213,0.0,34213.0,13812.0
ASM000052,EVT001,Villupuram,Villupuram Response Zone,6,HUB002,44.96,Low,81.59,37.69,558555,0.0,558555.0,31715.0,737890,0.0,737890.0,104013.0,4408,0.0,4408.0,396.0,34821,0.0,34821.0,13812.0
ASM000053,EVT001,Villupuram,Villupuram Response Zone,6,HUB002,44.19,Low,80.75,37.69,518330,0.0,518330.0,31715.0,691574,0.0,691574.0,104013.0,6758,0.0,6758.0,396.0,18060,0.0,18060.0,13812.0
ASM000054,EVT001,Villupuram,Villupuram Response Zone,6,HUB002,45.44,Moderate,90.18,37.69,591303,0.0,591303.0,31715.0,817921,0.0,817921.0,104013.0,4672,0.0,4672.0,396.0,33005,0.0,33005.0,13812.0
ASM000055,EVT001,Villupuram,Villupuram Response Zone,6,HUB002,45.39,Moderate,82.68,37.69,577744,0.0,577744.0,31715.0,734012,0.0,734012.0,104013.0,7474,0.0,7474.0,396.0,19736,0.0,19736.0,13812.0
ASM000056,EVT001,Villupuram,Villupuram Response Zone,12,HUB002,47.97,Moderate,85.93,37.69,549946,0.0,549946.0,31715.0,772775,0.0,772775.0,104013.0,2804,0.0,2804.0,396.0,33400,0.0,33400.0,13812.0
ASM000057,EVT001,Villupuram,Villupuram Response Zone,12,HUB002,49.44,Moderate,82.03,37.69,509487,0.0,509487.0,31715.0,746573,0.0,746573.0,104013.0,5865,0.0,5865.0,396.0,37467,0.0,37467.0,13812.0
ASM000058,EVT001,Villupuram,Villupuram Response Zone,12,HUB002,50.17,Moderate,87.02,37.69,525468,0.0,525468.0,31715.0,767252,0.0,767252.0,104013.0,5301,0.0,5301.0,396.0,34185,0.0,34185.0,13812.0
ASM000059,EVT001,Villupuram,Villupuram Response Zone,12,HUB002,47.19,Moderate,88.27,37.69,457163,0.0,457163.0,31715.0,692583,0.0,692583.0,104013.0,5305,0.0,5305.0,396.0,29451,0.0,29451.0,13812.0
ASM000060,EVT001,Villupuram,Villupuram Response Zone,12,HUB002,47.76,Moderate,83.07,37.69,565200,0.0,565200.0,31715.0,705988,0.0,705988.0,104013.0,4592,0.0,4592.0,396.0,23748,0.0,23748.0,13812.0
ASM000061,EVT001,Villupuram,Villupuram Response Zone,24,HUB002,60.4,High,92.79,37.69,746126,0.0,746126.0,0.0,1535032,0.0,1535032.0,0.0,13317,0.0,13317.0,0.0,44080,0.0,44080.0,0.0
ASM000062,EVT001,Villupuram,Villupuram Response Zone,24,HUB002,64.37,High,92.13,37.69,827479,0.0,827479.0,0.0,1221165,0.0,1221165.0,0.0,13373,0.0,13373.0,0.0,86828,0.0,86828.0,0.0
ASM000063,EVT001,Villupuram,Villupuram Response Zone,24,HUB002,55.5,Moderate,87.14,37.69,676541,0.0,676541.0,0.0,1016499,0.0,1016499.0,0.0,4802,0.0,4802.0,0.0,51549,0.0,51549.0,0.0
ASM000064,EVT001,Villupuram,Villupuram Response Zone,24,HUB002,62.63,High,90.63,37.69,702713,0.0,702713.0,0.0,1144217,0.0,1144217.0,0.0,10606,0.0,10606.0,0.0,71358,0.0,71358.0,0.0
ASM000065,EVT001,Villupuram,Villupuram Response Zone,24,HUB002,60.32,High,93.88,37.69,746032,0.0,746032.0,0.0,1609986,0.0,1609986.0,0.0,11511,0.0,11511.0,0.0,80914,0.0,80914.0,0.0
ASM000066,EVT001,Villupuram,Villupuram Response Zone,36,HUB002,66.35,High,86.01,37.69,906807,0.0,906807.0,0.0,1172171,0.0,1172171.0,0.0,18005,0.0,18005.0,0.0,75441,0.0,75441.0,0.0
ASM000067,EVT001,Villupuram,Villupuram Response Zone,36,HUB002,67.0,High,94.95,37.69,924857,0.0,924857.0,0.0,1316248,0.0,1316248.0,0.0,11471,0.0,11471.0,0.0,86244,0.0,86244.0,0.0
ASM000068,EVT001,Villupuram,Villupuram Response Zone,36,HUB002,59.12,Moderate,81.4,37.69,955549,0.0,955549.0,0.0,1361120,0.0,1361120.0,0.0,18554,0.0,18554.0,0.0,41601,0.0,41601.0,0.0
