Dataset,Column,Data_Type,Missing_Values,Unique_Values,Min,Max,Mean,Negative_Values
data_dictionary.csv,Dataset,object,0,5,,,,0
data_dictionary.csv,Column,object,0,68,,,,0
data_dictionary.csv,Data_Type,object,0,7,,,,0
data_dictionary.csv,Role,object,0,15,,,,0
data_dictionary.csv,Description,object,0,78,,,,0
disaster_events.csv,Event_ID,object,0,20,,,,0
disaster_events.csv,Event_Name,object,0,20,,,,0
disaster_events.csv,Event_Date,object,0,20,,,,0
disaster_events.csv,Disaster_Type,object,0,7,,,,0
disaster_events.csv,State,object,0,1,,,,0
disaster_events.csv,Expected_Duration_Hours,int64,0,5,72,2160,225.6,0
disaster_events.csv,Historical_Event,bool,0,1,True,True,1.0,0
historical_event_districts.csv,Historical_Record_ID,object,0,129,,,,0
historical_event_districts.csv,Event_ID,object,0,20,,,,0
historical_event_districts.csv,District,object,0,32,,,,0
historical_event_districts.csv,State,object,0,1,,,,0
historical_event_districts.csv,Historically_Documented,bool,0,1,True,True,1.0,0
historical_event_districts.csv,Source_Type,object,0,1,,,,0
relief_hubs.csv,Hub_ID,object,0,10,,,,0
relief_hubs.csv,Hub_Name,object,0,10,,,,0
relief_hubs.csv,District,object,0,10,,,,0
relief_hubs.csv,Latitude,float64,0,10,8.0883,13.0827,10.65839,0
relief_hubs.csv,Longitude,float64,0,10,76.9558,80.2707,78.62463,0
relief_hubs.csv,Storage_Capacity,int64,0,9,350000,600000,503000.0,0
relief_hubs.csv,Vehicle_Count,int64,0,7,30,50,41.5,0
resource_inventory.csv,Inventory_ID,object,0,200,,,,0
resource_inventory.csv,Hub_ID,object,0,10,,,,0
resource_inventory.csv,Event_ID,object,0,20,,,,0
resource_inventory.csv,Food_Available_packets,int64,0,200,10153,465129,125577.135,0
resource_inventory.csv,Water_Available_Liters,int64,0,200,34409,1595394,447277.2,0
resource_inventory.csv,Medical_Kits_Available,int64,0,194,123,5830,1510.675,0
resource_inventory.csv,Shelter_Capacity_Available,int64,0,200,4329,203622,52645.93,0
resource_inventory.csv,Vehicles_Available,int64,0,11,7,17,11.345,0
resource_inventory.csv,Vehicle_Capacity,int64,0,119,600,812,696.57,0
resource_inventory.csv,Rescue_Personnel_Available,int64,0,163,26,1388,317.345,0
resource_inventory.csv,Distribution_Personnel_Available,int64,0,182,27,1262,343.28,0
resource_inventory.csv,Medical_Personnel_Available,int64,0,116,8,714,97.03,0
zone_assessments.csv,Assessment_ID,object,0,5160,,,,0
zone_assessments.csv,Event_ID,object,0,20,,,,0
zone_assessments.csv,Location_ID,object,0,32,,,,0
zone_assessments.csv,District,object,0,32,,,,0
zone_assessments.csv,Response_Zone,object,0,32,,,,0
zone_assessments.csv,Assessment_Window,object,0,8,,,,0
zone_assessments.csv,Hours_Since_Disaster,int64,0,8,0,72,25.125,0
zone_assessments.csv,Simulation_ID,object,0,5,,,,0
zone_assessments.csv,Latitude,float64,0,32,8.0883,13.143,11.42318449612403,0
zone_assessments.csv,Longitude,float64,0,32,76.6932,80.2707,78.83140387596899,0
zone_assessments.csv,Hub_ID,object,0,10,,,,0
zone_assessments.csv,Distance_to_Hub_km,float64,0,22,0.0,124.7,38.72860465116278,0
zone_assessments.csv,Population_Baseline,int64,0,15,180000,800000,507364.3410852713,0
zone_assessments.csv,Population_Affected_Est,int64,0,4736,3278,524927,169104.68449612404,0
zone_assessments.csv,Affected_Population_pct,float64,0,2989,1.0,65.62,32.65737209302325,0
zone_assessments.csv,Fatalities_Est,int64,0,523,0,1455,75.86492248062015,0
zone_assessments.csv,Injured_Est,int64,0,3645,16,30851,3420.7482558139536,0
zone_assessments.csv,Houses_Damaged_Est,int64,0,4643,1,171707,27057.80949612403,0
zone_assessments.csv,Severity_Score,float64,0,3491,21.43,100.0,59.42209689922481,0
zone_assessments.csv,Infrastructure_Damage_Score,float64,0,3665,1.98,100.0,45.58802519379845,0
zone_assessments.csv,Accessibility_Score,float64,0,3003,31.54,100.0,67.87499418604651,0
zone_assessments.csv,Medical_Urgency_Score,float64,0,3403,11.38,90.7,46.20652131782946,0
zone_assessments.csv,Rainfall_mm,float64,0,3912,0.0,545.84,148.4583565891473,0
zone_assessments.csv,Wind_Speed_kmph,float64,0,3844,0.0,197.43,58.87702519379845,0
zone_assessments.csv,Temperature_C,float64,0,1771,20.08,45.0,31.64581201550388,0
zone_assessments.csv,Flood_Depth_m,float64,0,393,0.0,4.88,1.0549341085271318,0
zone_assessments.csv,River_Level_m,float64,0,515,0.0,10.15,2.4846899224806203,0
zone_assessments.csv,Storm_Surge_m,float64,0,323,0.0,4.56,0.949562015503876,0
zone_assessments.csv,Wave_Height_m,float64,0,325,0.0,9.68,0.6207829457364341,0
zone_assessments.csv,Burned_Area_km2,float64,0,861,0.0,315.7,29.3,0
zone_assessments.csv,Rainfall_Deficit_pct,float64,0,1144,0.0,71.87,8.504358527131783,0
zone_assessments.csv,Slope_Risk_Score,float64,0,80,0.0,94.6,1.1323372093023256,0
zone_assessments.csv,Rescue_Cases_Est,int64,0,3927,40,22371,4371.357558139535,0
zone_assessments.csv,Road_Access_Score,float64,0,3003,31.54,100.0,67.87499418604651,0
zone_assessments.csv,Estimated_Travel_Time_min,float64,0,2995,10.0,354.36,93.73021317829456,0
zone_assessments.csv,Estimated_Relief_Time_min,float64,0,5087,121.5,2908.98,971.4684748062016,0
zone_assessments.csv,Food_Required_packets,int64,0,5121,4132,768150,229879.92034883721,0
zone_assessments.csv,Water_Required_Liters,int64,0,5154,16136,2648144,833455.7416666667,0
zone_assessments.csv,Medical_Kits_Required,int64,0,3417,42,10129,2743.4321705426355,0
zone_assessments.csv,Shelter_Spaces_Required,int64,0,5084,1443,331665,92613.67558139535,0
zone_assessments.csv,Priority_Score,float64,0,3362,14.36,83.67,46.6126531007752,0
zone_assessments.csv,Priority_Level,object,0,4,,,,0
zone_assessments.csv,Required_Rescue_Personnel,int64,0,1481,5,2797,546.8565891472869,0
zone_assessments.csv,Required_Distribution_Personnel,int64,0,1264,10,1791,534.2422480620155,0
zone_assessments.csv,Required_Medical_Personnel,int64,0,597,3,1242,141.17364341085272,0
